,Kingdom,Phylum,Class,Order,Family,Genus,Species,,KOK17031_Con_20um_A,KOK17031_Con_20um_B,KOK17031_Con_20um_C,KOK17031_Part_20um_A,KOK17031_Part_20um_B,KOK17031_Part_20um_C,KOK17031_Con_2um_A,KOK17031_Con_2um_B,KOK17031_Con_2um_C,KOK17031_Part_2um_A,KOK17031_Part_2um_B,KOK17031_Part_2um_C,KOK17031_Con_0point2um_A,KOK17031_Con_0point2um_B,KOK17031_Con_0point2um_C,KOK17031_Part_0point2um_A,KOK17031_Part_0point2um_B,KOK17031_Part_0point2um_C,KOK17032_Con_20um_A,KOK17032_Con_20um_B,KOK17032_Con_20um_C,KOK17032_Part_20um_A,KOK17032_Part_20um_B,KOK17032_Part_20um_C,KOK17032_Con_2um_A,KOK17032_Con_2um_B,KOK17032_Con_2um_C,KOK17032_Part_2um_A,KOK17032_Part_2um_B,KOK17032_Part_2um_C,KOK17032_Con_0point2um_A,KOK17032_Con_0point2um_B,KOK17032_Con_0point2um_C,KOK17032_Part_0point2um_A,KOK17032_Part_0point2um_B,KOK17032_Part_0point2um_C,HOT291_Con_20um_A,HOT291_Con_20um_B,HOT291_Con_20um_C,HOT291_Part_20um_A,HOT291_Part_20um_B,HOT291_Part_20um_C,HOT291_Con_2um_A,HOT291_Con_2um_B,HOT291_Con_2um_C,HOT291_Part_2um_A,HOT291_Part_2um_B,HOT291_Part_2um_C,HOT291_Con_0point2um_A,HOT291_Con_0point2um_B,HOT291_Con_0point2um_C,HOT291_Part_0point2um_A,HOT291_Part_0point2um_B,HOT291_Part_0point2um_C,HOT292_Con_20um_A,HOT292_Con_20um_B,HOT292_Con_20um_C,HOT292_Part_20um_A,HOT292_Part_20um_B,HOT292_Part_20um_C,HOT292_Con_2um_A,HOT292_Con_2um_B,HOT292_Con_2um_C,HOT292_Part_2um_A,HOT292_Part_2um_B,HOT292_Part_2um_C,HOT292_Con_0point2um_A,HOT292_Con_0point2um_B,HOT292_Con_0point2um_C,HOT292_Part_0point2um_A,HOT292_Part_0point2um_B,HOT292_Part_0point2um_C
ASV_1546,Bacteria,PAUC34f,NA,NA,NA,NA,NA,ASV_1546,0,0,0,0,0,3,5,2,8,3,0,8,29,16,25,18,9,10,0,0,0,0,0,0,15,9,0,0,2,0,39,24,38,4,2,18,0,0,0,0,0,0,0,1,0,0,0,0,8,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,4,0,0,0
ASV_1547,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_1547,0,0,0,0,0,0,1,0,0,0,2,2,21,16,16,17,3,3,0,0,7,0,0,0,10,0,0,0,0,1,16,14,21,3,2,8,0,14,0,0,0,0,0,0,0,0,0,0,14,16,11,0,0,0,3,0,0,0,0,0,5,8,4,0,0,0,16,26,19,3,3,16
ASV_1548,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA,ASV_1548,0,0,0,0,0,0,0,3,0,2,0,3,6,3,5,13,8,8,0,0,0,0,0,1,1,6,0,0,0,1,4,8,5,9,2,12,74,28,0,0,0,0,10,7,5,0,0,1,4,7,4,1,0,1,23,0,41,0,0,0,0,0,1,1,1,0,0,0,0,4,2,6
ASV_1549,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA,ASV_1549,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,11,19,13,0,1,3,0,0,0,0,0,0,4,18,6,0,0,1,67,62,56,12,12,16
ASV_1550,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,dentocariosa,ASV_1550,0,0,226,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,6,13,3,0,0,0,0,12,0,0,0,0
ASV_1551,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,NA,ASV_1551,0,0,0,1,1,2,28,6,14,1,2,5,5,3,3,6,0,0,3,0,8,0,0,0,10,7,0,0,0,0,2,3,4,0,0,2,0,0,115,0,0,0,17,4,12,0,2,0,3,4,2,0,0,0,0,0,1,0,1,2,16,9,3,0,1,1,2,5,1,1,0,2
ASV_1552,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_1552,0,0,0,0,0,0,15,0,0,0,1,3,27,16,20,15,11,6,0,0,0,0,2,0,0,7,0,0,0,0,29,10,32,4,1,11,0,0,0,0,0,0,9,0,7,0,0,0,28,13,12,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,11,6,12,1,2,4
ASV_1553,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,NA,NA,NA,ASV_1553,0,0,0,0,0,0,0,0,0,1,1,1,12,6,5,4,4,1,0,1,0,0,0,0,0,6,2,1,1,0,11,6,13,1,0,6,0,0,0,0,0,0,4,0,1,0,0,0,11,8,16,0,0,0,0,0,0,0,0,0,16,12,8,3,0,1,38,38,47,7,8,19
ASV_1554,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,NA,ASV_1554,6,0,287,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,2,0,0,0
ASV_1555,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,NA,ASV_1555,0,0,0,0,1,1,4,1,0,1,2,1,29,22,24,33,8,10,10,4,0,0,0,0,2,1,0,2,0,1,34,19,27,3,3,13,0,0,0,0,0,0,0,0,1,0,0,0,16,6,13,0,0,1,0,13,1,0,0,0,0,3,0,0,1,0,1,0,4,1,1,1
ASV_1556,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,ASV_1556,0,0,0,0,0,3,21,14,1,0,1,4,19,15,4,10,15,6,0,0,0,0,1,0,0,10,1,0,0,0,8,10,12,2,1,6,0,0,0,0,0,0,4,21,0,0,0,0,31,19,18,2,2,2,0,0,0,0,0,0,12,11,4,1,0,0,13,4,9,1,0,1
ASV_1557,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_1557,0,0,0,0,0,0,7,3,0,1,0,0,18,9,16,7,4,5,0,0,0,0,0,0,0,8,0,0,0,0,15,15,17,3,1,8,0,0,0,0,0,1,16,0,0,0,0,0,17,15,21,3,0,1,0,0,0,0,0,0,7,6,3,0,0,0,27,25,29,4,5,2
ASV_1558,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA,ASV_1558,0,0,0,0,0,0,2,1,0,0,2,1,12,5,4,8,6,4,0,0,0,0,0,0,4,0,3,1,0,0,12,11,12,2,1,6,0,0,0,0,0,0,0,5,0,0,0,0,52,27,17,1,2,2,0,0,0,0,0,0,2,4,0,0,0,2,41,16,27,1,12,11
ASV_1559,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_1559,0,0,0,0,0,0,1,1,0,0,1,2,25,16,17,14,8,6,0,0,0,0,0,0,0,9,0,0,0,0,14,26,28,5,1,13,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,1,0,1,0,0,0,0,0,0,5,2,1,1,0,1,25,31,24,3,2,7
ASV_1560,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1560,5,0,0,0,0,0,1,3,5,1,2,6,24,16,13,19,12,8,4,0,0,0,0,0,3,15,0,2,0,2,44,25,40,11,10,18,0,0,0,0,0,0,0,2,0,0,0,0,11,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,1,1,0
ASV_1561,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopelagicus,NA,ASV_1561,0,0,0,0,0,2,0,0,1,0,0,1,15,9,9,6,3,6,0,1,0,0,0,0,0,0,0,0,0,0,12,10,8,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,51,30,21,1,0,1,0,0,0,0,0,0,3,9,2,0,1,0,41,10,35,2,15,7
ASV_1562,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA,ASV_1562,0,0,0,0,0,0,0,5,0,0,2,3,27,27,15,15,10,6,6,2,1,0,1,0,1,0,0,0,0,2,22,20,36,13,7,15,0,0,41,0,0,0,0,0,0,0,0,0,8,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,5,1,0,1
ASV_1563,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1563,0,0,0,0,0,0,1,2,0,0,1,7,18,15,20,21,6,3,0,0,0,0,0,0,3,2,0,0,1,1,26,25,36,4,5,17,1,0,0,0,0,0,0,1,0,0,1,1,18,9,24,1,0,0,0,0,0,0,0,0,0,4,0,0,0,2,13,11,8,2,1,6
ASV_1564,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA,ASV_1564,2,0,0,0,0,0,15,8,0,1,3,2,31,4,15,14,6,7,1,0,2,1,1,0,2,3,3,0,1,2,14,22,27,11,2,18,0,0,0,0,0,0,0,7,2,0,0,0,33,12,9,2,0,0,1,2,0,0,0,0,2,4,1,0,0,0,9,8,3,1,1,1
ASV_1565,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116_clade,NA,NA,ASV_1565,0,2,0,0,0,2,5,0,4,1,1,5,27,14,17,24,8,9,0,1,0,0,1,1,1,16,1,1,0,0,25,14,43,8,3,15,0,0,0,0,0,0,0,9,0,0,0,0,23,18,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
ASV_1566,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV_1566,0,0,0,0,2,8,0,0,0,0,1,1,0,0,0,1,4,1,1,0,21,7,4,7,0,0,28,8,7,9,0,0,7,10,13,5,0,0,0,2,3,17,0,0,0,10,5,17,0,0,0,9,10,12,0,0,0,5,9,17,0,0,0,11,7,9,0,0,0,9,14,5
ASV_1567,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA,NA,ASV_1567,0,0,0,0,0,0,1,0,0,0,0,1,10,7,5,2,1,1,0,2,0,0,1,0,0,1,0,0,0,1,9,5,6,1,1,2,0,0,0,0,0,0,9,0,0,0,0,0,29,23,14,4,0,0,0,0,0,0,0,0,5,13,4,0,0,3,56,35,47,2,12,3
ASV_1568,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_1568,0,0,0,77,41,37,0,0,0,19,6,39,0,0,0,2,3,1,5,0,0,2,4,2,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,14,10,9,0,0,0,4,11,6,0,0,0,0,2,0
ASV_1569,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1569,0,0,0,1,0,0,5,1,0,1,1,2,11,5,10,10,5,2,0,1,0,0,0,0,0,1,0,1,0,0,9,5,15,2,1,5,0,0,0,0,0,0,1,3,0,0,1,0,13,6,12,0,0,1,0,0,0,0,0,0,17,10,9,2,0,3,34,29,50,13,4,13
ASV_1570,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA,ASV_1570,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,1,3,1,1,0,4,2,2,0,3,0,4,4,5,0,1,0,18,3,19,0,0,0,3,0,2,2,0,0,13,8,10,0,0,0,21,16,30,0,0,0,14,5,15,0,0,0,12,10,15,0,0,0,27,12,18
ASV_1571,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1571,0,0,0,0,0,2,0,0,4,0,2,2,19,6,17,10,5,6,2,0,0,0,1,0,0,5,0,0,0,0,12,11,14,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,24,8,14,1,1,0,0,0,0,0,0,0,7,12,4,1,1,1,33,33,22,5,7,12
ASV_1572,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Prochlorococcus_MIT9313,NA,ASV_1572,0,0,0,0,0,0,22,10,1,4,0,1,12,4,6,5,3,0,0,3,0,0,2,0,0,0,0,0,0,0,12,8,9,0,1,0,0,0,0,0,0,0,11,31,0,0,1,0,34,5,21,0,1,0,7,0,0,0,0,0,2,18,1,0,0,1,29,22,23,4,1,0
ASV_1573,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_1573,0,0,0,0,0,0,1,6,6,4,0,2,20,11,17,12,0,7,0,0,0,0,0,0,7,5,0,0,0,0,10,12,14,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,14,12,20,0,2,1,0,1,0,0,0,0,5,9,5,0,2,2,32,15,25,3,9,13
ASV_1574,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Erythrobacter,NA,ASV_1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,46,242,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
ASV_1575,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,NA,ASV_1575,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,6,3,8,0,0,0,0,1,9,0,0,0,4,5,9,0,0,0,5,2,11,0,0,0,10,15,13,0,0,0,21,9,19,0,0,0,21,18,35,0,0,0,11,10,18,0,0,0,11,13,22
ASV_1576,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,NA,NA,NA,ASV_1576,0,0,0,1,2,0,10,6,2,0,3,3,0,1,0,2,1,0,0,0,10,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,23,0,23,0,0,1,9,13,0,0,0,0,21,5,2,0,0,0,15,32,24,1,1,0,12,21,16,2,2,2,17,8,13,2,3,1
ASV_1577,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA,ASV_1577,0,0,0,0,1,2,0,1,0,2,1,1,23,15,12,9,2,2,1,2,0,0,0,0,0,0,0,0,0,0,16,14,20,7,1,6,0,0,0,0,0,0,1,17,0,0,0,0,27,6,16,1,2,0,0,0,0,0,0,0,3,5,9,0,0,1,20,32,18,3,3,12
ASV_1578,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,NA,NA,NA,ASV_1578,0,0,0,0,0,0,10,1,7,0,4,1,28,13,18,24,7,3,0,0,0,0,0,0,2,0,0,2,0,2,26,23,26,4,1,10,0,0,0,0,0,0,0,0,3,1,0,0,16,10,22,0,1,1,0,0,0,0,0,0,3,0,0,1,0,1,14,8,12,2,5,2
ASV_1579,Bacteria,Chloroflexi,Dehalococcoidia,SAR202_clade,NA,NA,NA,ASV_1579,0,0,0,0,0,0,8,6,0,2,0,3,15,1,9,9,3,2,0,0,0,0,0,0,0,0,0,0,1,0,7,7,11,3,0,4,0,0,0,0,1,0,5,10,3,0,0,0,52,36,17,1,1,0,0,0,0,0,0,0,2,9,3,1,1,1,17,7,31,2,6,17
ASV_1580,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA,NA,ASV_1580,0,0,0,0,0,0,5,0,9,5,4,5,24,9,13,13,4,3,0,0,0,0,0,0,18,27,5,1,2,2,18,33,16,5,3,16,0,24,0,0,0,0,12,3,0,0,0,0,9,10,5,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,2
ASV_1581,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA,NA,ASV_1581,0,0,0,0,0,0,5,2,2,0,1,2,19,12,15,14,6,7,0,0,0,0,0,0,6,8,1,0,0,1,21,8,20,3,1,10,0,0,0,0,0,0,2,21,0,0,0,0,12,9,5,1,0,0,0,19,0,0,0,0,24,13,3,1,3,0,5,9,15,3,4,1
ASV_1582,Bacteria,Proteobacteria,Alphaproteobacteria,AT-s3-44,NA,NA,NA,ASV_1582,0,0,0,0,0,0,2,9,11,1,2,2,30,15,23,26,12,6,1,1,15,0,0,0,3,6,4,0,0,0,35,45,38,11,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1583,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA,ASV_1583,16,0,248,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ASV_1584,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,NA,ASV_1584,0,0,0,3,0,0,0,0,0,1,2,2,0,0,0,0,0,1,3,0,14,44,24,19,0,0,0,42,20,11,0,0,0,7,18,3,0,23,0,0,0,4,0,2,0,2,5,1,0,0,0,2,6,5,0,0,0,5,13,9,0,0,0,1,3,4,0,0,0,5,3,6
ASV_1585,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_1585,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,2,5,0,0,0,0,1,0,0,0,0,0,0,0,253,0,0,1,0,0,0,0,0,6,0,0
ASV_1586,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,ASV_1586,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,260,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0
ASV_1587,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA,ASV_1587,0,0,309,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1588,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_1588,0,0,0,65,27,36,0,0,0,25,32,40,0,1,0,6,3,3,0,0,15,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,14,1,4,0,0,0,0,3,0,0,0,0,0,19,0,0,0,0,4,3,3,0,0,0,0,0,0
ASV_1589,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA,ASV_1589,0,0,0,27,21,22,0,0,0,16,25,17,0,1,0,2,0,3,3,9,27,20,24,19,0,0,0,11,9,34,0,0,0,6,2,1,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ASV_1590,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA,ASV_1590,0,0,0,13,8,22,1,0,0,7,13,14,0,1,0,3,12,5,2,8,0,18,15,19,13,2,0,17,8,20,0,0,0,4,18,1,0,0,0,3,2,2,0,0,0,1,7,12,0,0,0,1,3,2,0,0,0,3,13,1,2,1,0,6,4,1,1,0,0,2,0,1
ASV_1591,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1591,0,0,0,2,0,0,5,1,0,2,2,6,20,25,18,20,10,3,0,1,0,0,0,0,3,8,0,0,0,1,26,20,15,4,2,8,0,0,0,0,0,0,0,0,0,1,0,0,11,14,13,0,0,1,0,0,0,0,0,0,2,9,5,0,1,0,11,12,16,2,3,9
ASV_1592,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,NA,NA,ASV_1592,40,0,0,5,2,2,0,0,0,2,4,5,0,0,0,1,3,0,0,0,0,7,7,6,0,6,4,4,5,11,0,0,0,7,6,4,0,0,0,3,4,5,0,4,0,7,15,11,1,0,2,5,10,13,0,0,0,9,16,13,0,1,0,9,12,14,0,0,0,8,13,5
ASV_1593,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,NA,ASV_1593,23,0,0,0,0,1,18,14,17,1,0,2,2,5,5,5,3,3,2,2,38,0,1,0,19,13,10,2,0,0,5,9,5,0,0,1,0,0,31,0,0,0,7,14,6,0,0,0,8,4,7,0,0,0,0,0,0,0,0,1,10,6,1,1,0,0,3,0,2,2,0,2
ASV_1594,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,NA,ASV_1594,0,0,0,1,0,1,8,0,3,0,0,4,23,12,5,11,10,3,0,0,9,0,1,0,10,2,0,0,0,0,20,18,37,3,7,10,0,3,0,0,0,0,0,6,0,0,0,0,12,13,20,1,2,0,0,0,0,0,0,0,5,0,0,0,0,1,16,16,10,4,3,1
ASV_1595,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA,NA,ASV_1595,0,0,0,0,0,0,10,5,0,2,1,5,23,17,15,24,6,6,0,0,0,0,1,1,2,5,0,0,1,1,25,18,45,4,1,15,0,0,1,0,0,0,0,9,0,0,0,0,10,8,7,0,0,0,0,0,0,0,0,0,7,4,0,0,0,1,7,4,15,2,2,1
ASV_1596,Bacteria,Planctomycetota,BD7-11,NA,NA,NA,NA,ASV_1596,0,236,0,0,0,0,5,5,3,1,0,0,0,1,0,0,1,2,0,6,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,14,16,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
ASV_1597,Bacteria,MBNT15,NA,NA,NA,NA,NA,ASV_1597,0,164,0,1,2,0,9,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,2,4,2,0,0,0,1,2,0,0,0,0,0,42,53,0,0,1,7,4,0,1,0,0,0,0,0,0,0,0
ASV_1598,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,NA,NA,ASV_1598,0,1,0,0,0,0,11,3,0,0,1,0,11,4,9,10,2,5,0,0,0,0,0,0,3,0,0,0,0,0,18,9,14,1,4,5,0,0,0,0,0,0,4,0,0,0,0,0,9,11,6,1,0,1,7,0,20,0,0,0,13,7,3,1,1,1,28,32,32,2,5,15
ASV_1599,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA,NA,ASV_1599,0,0,0,6,0,5,35,60,42,4,4,6,7,6,6,0,4,6,5,2,67,0,0,0,20,10,9,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV_1600,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1600,0,0,0,0,0,0,2,0,0,3,0,4,30,12,18,13,6,7,2,0,0,0,0,0,4,0,0,0,1,0,20,16,21,3,2,13,0,0,0,0,0,0,0,1,0,0,0,0,19,3,9,0,0,0,0,0,0,0,0,0,6,8,3,1,0,1,23,19,22,6,4,8
ASV_1601,Bacteria,Chloroflexi,TK10,NA,NA,NA,NA,ASV_1601,0,0,0,0,0,0,2,0,1,0,0,1,2,3,1,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,0,0,0,0,0,2,8,14,1,0,1,0,55,21,31,0,4,1,0,0,0,0,0,0,8,16,9,1,1,0,23,20,38,5,7,10
ASV_1602,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1602,0,0,0,0,0,0,2,2,2,0,0,2,21,7,4,4,5,2,1,0,0,0,0,0,0,1,2,0,0,1,5,6,11,5,1,1,0,0,0,0,0,0,0,13,0,0,0,0,16,4,12,0,0,2,0,0,0,0,0,0,3,15,5,3,1,1,37,38,48,8,11,8
ASV_1603,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA,ASV_1603,28,0,0,0,1,1,7,14,16,3,1,2,19,6,7,9,2,3,0,0,0,1,2,0,47,14,0,2,1,5,24,21,29,4,5,11,0,0,0,0,0,0,13,2,0,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ASV_1604,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,NA,NA,NA,ASV_1604,1,3,0,1,2,0,2,2,1,0,1,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,1,0,0,0,0,0,0,1,5,0,0,0,0,8,20,7,1,1,2,4,9,8,0,0,0,4,14,3,0,1,0,38,39,78,11,14,6
ASV_1605,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA,ASV_1605,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,29,19,9,0,0,1,0,0,0,0,0,3,10,10,2,0,1,0,59,55,47,9,20,17
ASV_1606,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,NA,ASV_1606,1,122,0,1,3,12,6,9,10,4,5,9,1,0,0,9,0,1,3,7,41,1,2,4,0,8,1,0,9,7,1,0,1,3,2,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2,0,4,1,0,0,0,0,5,0,0,0,0,0,0,2,3
ASV_1607,Bacteria,PAUC34f,NA,NA,NA,NA,NA,ASV_1607,0,23,0,0,0,0,5,6,8,1,0,2,24,14,10,24,9,8,0,0,9,0,0,0,6,8,4,0,1,0,26,18,25,9,6,9,0,0,0,0,0,0,2,4,3,0,0,0,20,9,7,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,1
ASV_1608,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA,NA,ASV_1608,0,0,0,0,0,0,2,2,1,0,1,0,23,18,15,12,9,6,0,0,0,0,0,0,0,4,2,0,0,0,17,11,21,5,2,7,0,0,0,0,0,0,0,2,0,0,0,0,17,4,15,1,1,0,0,0,0,0,0,0,4,7,10,2,2,0,21,11,24,4,9,16
